uid,sci2014_label,kmeans_label,dbscan_label,hierarchical_label,spectral_label,em_label
kiQv0q-oOVGEOPa_S_at6w,1,1,0,3,0,0
UXX8Clg-r3La0_7zFAooXg,1,1,0,3,0,0
gLV4VXc4k_WF9ElByOdE5Q,0,0,1,2,0,1
0SK0qX_6yWYO6xQ35rPHjg,0,0,1,2,0,1
IT2I77tByqTSs82dp4WusA,0,0,1,2,0,1
WOV7d6kzESwJfDKSNXrIlA,0,0,1,2,0,1
NFxWUC2RX18YNZMaiFyb2Q,1,1,2,3,1,0
p3DMYR9Qc4ADPPG82czHBg,0,0,1,2,0,1
oBjCYbMZm23XdnQuLymQsA,1,1,0,3,0,0
FoCkGAce6Hjy3mpfUSq-_w,0,0,1,2,0,1
nKYEwQj3ZN9KnISsNyVyTQ,0,0,1,2,0,1
0LqRQ70NiREx8xY_YULuFg,0,0,1,2,0,1
hBBqdm2UIQgEX59rIUYIlA,0,0,1,2,0,1
ZJM80Smc3_MvbFr8-apUrA,0,0,1,2,0,1
MPaWnzh94qmtdjMMrGpSCw,1,1,0,3,0,0
w2ntisggCzwnu_EuCIZz2g,2,2,-1,1,0,2
pyZtn8k4ICyzx3Y43adxcw,0,0,1,2,0,1
Tf4NG01BlJzeDENmDVkwHA,0,0,1,2,0,1
NeQw3MKelZqf3H7jIiSVfw,0,0,1,2,0,1
UytabzwsPyhIjhZt5y_zpw,0,0,1,2,0,1
slazr8QlWY1Fuwrb3DJQ5Q,0,0,1,2,0,1
4a6eAFBAIC3ZuNIF8gmxow,1,1,0,3,0,0
mEDn833IEhIbslkq_FyxJg,1,1,0,3,0,0
OIe8ocbdAMabIAltYj0ufw,1,1,0,3,0,0
aexqWlqR5nrwPQzIWiOySA,0,0,1,2,0,1
nldEPE1fzjY_NL3vgiOJ2g,0,0,1,2,0,1
nOtASLYra1Js6ivUCua63w,0,0,1,2,0,1
ttvRIPLpKfMfpnpTBWgtew,1,1,3,3,0,0
97ysU7zijkF8BKhyAAEZPg,0,0,1,2,0,1
CJl4cJG35n1RD32KBGooTg,1,1,0,3,0,0
XTw9nxxvraZnnIOccxjdGA,0,0,1,2,0,1
ohg5Bcv789nkQ__InkNStw,1,1,4,3,1,0
OAz3E4eLtZ9GQMTZ94ix3g,1,1,2,3,1,0
AQxmbuDiToMv2WYtq4Mfdw,0,0,1,2,0,1
2CyzC99DLEkQR-iOKeZj_g,1,1,0,3,0,0
MCDox9M2dDcHxPs3a3BdKg,0,0,1,2,0,1
UfnBlZSbHlpAlP0LLs6wuA,0,0,1,2,0,1
r6lIeCGvilOQbjEy5Lfp7A,1,1,0,3,0,0
PS2AIZWy5v7F373KKHCgyA,0,0,1,2,0,1
LQx_RLGja7a_AiXA-QbWAQ,1,1,0,3,0,0
zaIljqWzgMqVTWNXbCQ7bQ,1,1,3,3,0,0
DIt86rrJbCxVRaqT_yCQhw,0,0,1,2,0,1
f_BvFMi2xzMddOCuEGOLQQ,0,0,1,2,0,1
E3l-uUAT_vEzbLnVh3ryGA,0,0,1,2,0,1
6L0RQKucLwYbRr9D5XJKQw,0,0,1,2,0,1
veGJEmfVyt4iQtFe7LAbBg,0,0,1,2,0,1
8IL102ANS01gW1yihJpYcQ,0,0,1,2,0,1
FIzJNY2pPCJXFBEYAb1r7g,1,1,0,3,0,0
UrfsVABrFs_Vu1HGrm37QA,0,0,1,2,0,1
ulcwkOY0-Dugk295OV-SyQ,1,1,4,3,1,0
NBJVYt7sO-2WDg3bPwBT0Q,0,0,1,2,0,1
Yaltx7RLH8w62Ax_b5wuhQ,1,1,3,3,0,0
j6uTTJWGFwfZVOuAz39FhQ,1,1,2,3,1,0
kcdMCsewzjClqbS72NksDA,1,1,0,3,0,0
mXcPw1NoDwb37dyggv4w0Q,1,1,0,3,0,0
9vZv-Xx0YLFOpwUIFeVekw,1,1,0,3,0,0
My1AuLhY9ljazk-d1cIV_A,1,1,3,3,0,0
-Fz5csjvIubCn1LXDW6WcQ,0,0,1,2,0,1
3LY61rJKQVYjb3bwvu-FGg,0,0,1,2,0,1
5nNOgv2a2BjSq1sgKYnq0g,0,0,1,2,0,1
_k8Y4NByes_LjRWwY7Pk4Q,0,0,1,2,0,1
UAGU4JW7MwbpT3kdvbI9jA,1,1,4,3,1,0
